03/02/2025-16:05:10.697055  [**] [1:1000001:1] ICMP Traffic Detected [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:0a00:27ff:fe1e:62ee:135 -> fe80:0000:0000:0000:0000:0000:0000:0002:0
03/02/2025-16:17:43.303131  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.077438  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.290668  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.483668  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.648197  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.778973  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.893756  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:44.994955  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.077979  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.163567  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.250912  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.333433  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.420664  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.516716  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.605030  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.697968  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.787406  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.874995  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:45.961433  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.050901  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.133537  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.265397  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.360902  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.477495  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.565683  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.662917  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.811847  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:46.934321  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.022544  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.104358  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.189207  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.279263  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.363066  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.448362  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.535375  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.619581  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.711013  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.795182  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:47.889471  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.056654  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.347261  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.435535  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.539620  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.627132  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.715392  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.800573  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.888702  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:49.979116  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.069814  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.160515  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.254109  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.347253  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.451343  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.541547  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.638028  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.902348  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:50.992327  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.085221  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.176623  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.275491  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.482858  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.594532  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.701265  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.808778  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:51.898951  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.100158  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.207907  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.309561  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.507566  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.605839  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.811702  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:52.912552  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:53.009092  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:53.093877  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:17:53.197581  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.379357  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.621751  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.704274  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.793053  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.876493  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:05.966864  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.073869  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.292010  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.407533  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.619716  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.721999  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.838129  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:06.975455  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:07.069064  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:07.159850  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:07.253588  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
03/02/2025-16:18:07.344051  [**] [1:2013504:6] ET INFO GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 10.0.2.15:45814 -> 91.189.91.83:80
